"","murdock_name","land_area","atlantic_number15","atlantic_number16","atlantic_number17","atlantic_number18","indian_number15","indian_number16","indian_number17","indian_number18","atlantic_all_years","indian_all_years"
"84","BATI",10838.726744483,0,0,0,0,0,0,0,0,0,0
"85","BAUCHI",16311.1268822501,0,0,0,0,0,0,0,0,0,0
"86","BAULE",28970.0280682513,0,0,0,0,0,0,0,0,0,0
"87","BAYA",114707.419110879,0,0,0,0,0,0,0,0,0,0
"88","BEDE",9368.66636450089,0,0,0,108,0,0,0,0,108,0
"89","BEDERIA",31894.4447712593,0,0,0,0,0,0,0,0,0,0
"90","BEMBA",50325.6709760425,0,0,0,0,716,358,769,1202,0,3045
"91","BENA",15163.4685446617,0,0,0,0,368,184,395,618,0,1565
"92","BENDE",22006.9516890948,0,0,0,0,61,31,66,103,0,261
"93","BERABER",59698.2460790891,0,0,0,0,0,0,0,0,0,0
"94","BERABISH",290066.768572963,0,0,0,0,0,0,0,0,0,0
"95","BERGDAMA",30293.2907512232,0,0,0,0,0,0,0,0,0,0
"96","BERIBERI",30410.8918812242,0,0,0,0,0,0,0,0,0,0
"97","BERTA",16145.0846223229,0,0,0,0,0,0,0,0,0,0
"98","BERTI",40799.0719019457,0,0,0,0,0,0,0,0,0,0
"99","BETE",18131.9610272026,0,0,273,0,0,0,0,0,273,0
"100","BETSILEO",32412.2031927536,0,699,602,4298,0,0,2472,2383,5599,4855
"101","BETSIMISARAKA",58372.6316643856,0,1259,1085,7740,0,0,4452,4292,10084,8744
"102","BIAFADA",4871.0902677057,6539,7657,991,1326,0,0,0,0,16513,0
"103","BIDEYAT",568541.833455408,0,0,0,0,0,0,0,0,0,0
"104","BIJOGO",1479.21473326108,750,5198,1982,663,0,0,0,0,8593,0
"105","BINZA",15491.9438000052,0,0,0,0,0,0,0,0,0,0
"106","BIRA",24884.7943278839,0,0,0,0,0,0,0,0,0,0
"107","BIRIFON",6631.08970469801,0,0,0,0,0,0,0,0,0,0
"108","BIRKED",16439.950113263,0,0,0,0,0,0,0,0,0,0
"109","BIROM",3283.81205006498,0,0,0,36,0,0,0,0,36,0
"110","BISA",37836.6493622358,0,0,0,563,2864,1432,3075,4809,563,12180
"111","BISHARIN",116021.129260584,0,0,0,0,0,0,0,0,0,0
"112","BOBO",28824.2082228097,0,0,5945,78,0,0,0,0,6023,0
"113","BOFI",2895.587938305,0,0,0,0,0,0,0,0,0,0
"114","BOGO",2471.51256783501,0,0,0,0,0,0,0,0,0,0
"115","BOKI",3587.90134128013,0,0,0,36,0,0,0,0,36,0
"116","BOLEWA",7779.59715444224,0,0,0,90,0,0,0,0,90,0
"117","BOMITABA",7511.65541190898,0,0,0,0,0,0,0,0,0,0
"118","BONDEI",1794.71080114302,0,0,0,0,982,491,1054,1649,0,4176
"119","BONDJO",16278.831017147,0,0,0,0,0,0,0,0,0,0
"120","BONGO",22414.2469614211,0,0,0,0,0,0,0,0,0,0
"121","BONI",13943.1430906714,0,0,0,0,0,0,0,0,0,0
"122","BORAN",138935.358191799,0,0,0,0,12,6,13,21,0,52
"123","BORROM",3658.76335211999,0,0,0,0,0,0,0,0,0,0
"124","BOSAKA",26518.9506447336,0,0,0,0,0,0,0,0,0,0
"125","BOZO",10519.4448256765,0,0,0,0,0,0,0,0,0,0
"126","BRONG",20390.1004105074,0,0,0,0,0,0,0,0,0,0
"127","BUA",16055.5942938429,0,0,0,0,0,0,0,0,0,0
"128","BUBI",2014.25934680684,0,0,0,0,0,0,0,0,0,0
"129","BUDJA",29559.8797863588,0,0,0,0,0,0,0,0,0,0
"130","BUDU",8100.00683394628,0,0,0,0,0,0,0,0,0,0
"131","BUDUMA",3061.83044997909,0,0,0,13,0,0,0,0,13,0
"132","BUEM",2419.82395180104,0,0,0,0,0,0,0,0,0,0
"133","BUILSA",2459.12269019847,0,0,0,0,0,0,0,0,0,0
"134","BULGEDA",141632.606197903,0,0,0,0,0,0,0,0,0,0
"135","BULOM",3347.7047493558,0,0,720,1428,0,0,0,0,2148,0
"136","BUNDA",9345.76968130589,0,0,0,0,0,0,0,0,0,0
"137","BUNU",8665.63867553681,0,0,0,2164,0,0,0,0,2164,0
"138","BURA",6222.32150203216,0,0,0,0,0,0,0,0,0,0
"139","BURUNGI",3483.45572698708,0,0,0,0,0,0,0,0,0,0
"140","BUSA",23862.4996077593,0,0,0,18,0,0,0,0,18,0
"141","BUSANSI",9494.38840419321,0,0,0,0,0,0,0,0,0,0
"142","BUTAWA",4595.98670689464,0,0,0,0,0,0,0,0,0,0
