TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
BALANTE,"61","12.32490000000","-15.45160000000",Senegal,SEN,"30099","0"
BAMBARA,"62","13.07600000000","-6.66268000000",Mali,MLI,"223956","0"
BAMILEKE,"63","5.26154613828","10.45370000000",Cameroon,CMR,"753","0"
BANDA,"64","6.71744893987","22.15510000000",South Sudan,SSD,"9","0"
BANGANDU,"65","2.58750516927","15.55180000000",Cameroon,CMR,"0","0"
BANGBA,"66","3.32035766240","28.63370000000",Democratic Republic of the Congo,COD,"118","0"
BANGI,"67","-0.32296000000","16.70470000000",Democratic Republic of the Congo,COD,"0","0"
BANYUN,"68","12.45660000000","-16.07630000000",Senegal,SEN,"44635","0"
BANZA,"69","3.38985038423","20.75800000000",Democratic Republic of the Congo,COD,"0","0"
BANZIRI,"70","4.94405816597","20.22020000000",Democratic Republic of the Congo,COD,"0","0"
BARA,"71","-23.16390000000","45.53150000000",Madagascar,MDG,"13809","11973"
BARABRA,"72","21.03700000000","31.30820000000",Egypt,EGY,"0","0"
BARARETTA,"73","2.17481242742","41.03680000000",Somalia,SOM,"0","85"
BAREA,"74","15.63540000000","37.40960000000",Eritrea,ERI,"0","0"
BARGU,"75","10.44330000000","2.89360231060",Nigeria,NGA,"21708","0"
BARI,"76","4.74360309663","31.72640000000",South Sudan,SSD,"490","0"
BASA,"77","7.93205031057","7.22530905601",Nigeria,NGA,"773","0"
BASARI,"78","9.19652568452","0.79077925959",Togo,TGO,"0","0"
BASHI,"79","-2.47415000000","28.82440000000",Rwanda,RWA,"0","0"
BASILA,"80","9.19177259389","1.83471390423",Benin,BEN,"0","0"
BASSA,"81","6.20614487111","-9.67354000000",Liberia,LBR,"3542","0"
BATA,"82","9.73463774109","13.03460000000",Nigeria,NGA,"0","0"
BATAHIN,"83","16.01640000000","33.85010000000",Sudan,SDN,"0","0"
BATI,"84","3.37771439847","23.55170000000",Democratic Republic of the Congo,COD,"0","0"
BAUCHI,"85","9.88652515678","10.55720000000",Nigeria,NGA,"0","0"
BAULE,"86","7.28524891778","-4.79086000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"0","0"
BAYA,"87","5.58301075886","15.78260000000",Central African Republic,CAF,"0","0"
BEDE,"88","12.79690000000","10.74570000000",Nigeria,NGA,"108","0"
BEDERIA,"89","13.04040000000","30.37410000000",Sudan,SDN,"0","0"
BEMBA,"90","-10.67050000000","31.33670000000",Zambia,ZMB,"0","3045"
BENA,"91","-9.18798000000","35.31090000000",United Republic of Tanzania,TZA,"0","1565"
BENDE,"92","-6.07018000000","30.55890000000",United Republic of Tanzania,TZA,"0","261"
BERABER,"93","32.78430000000","-5.21513000000",Morocco,MAR,"0","0"
BERABISH,"94","19.88570000000","-4.72439000000",Mauritania,MRT,"0","0"
BERGDAMA,"95","-21.84110000000","15.48670000000",Namibia,NAM,"0","0"
BERIBERI,"96","14.20580000000","9.56289492630",Nigeria,NGA,"0","0"
BERTA,"97","10.56560000000","34.84890000000",Ethiopia,ETH,"0","0"
BERTI,"98","14.02690000000","26.60760000000",Sudan,SDN,"0","0"
BETE,"99","6.40940143139","-6.48613000000",CÃ¯Â¿Â½te d'Ivoire,CIV,"273","0"
BETSILEO,"100","-21.22010000000","46.47120000000",Madagascar,MDG,"5599","4855"
BETSIMISARAKA,"101","-17.20770000000","49.24620000000",Madagascar,MDG,"10084","8744"
BIAFADA,"102","11.52960000000","-15.11720000000",Guinea,GIN,"16513","0"
BIDEYAT,"103","19.39540000000","23.73220000000",Egypt,EGY,"0","0"
BIJOGO,"104","11.31590000000","-16.00380000000",Guinea-Bissau,GNB,"8593","0"
BINZA,"105","2.44690132656","24.24340000000",Democratic Republic of the Congo,COD,"0","0"
